Model year,Make,Model,Trim,Fuel Type, Incentive for Purchase or 48 month Lease , Incentive for 12 month Lease , Incentive for 24 month Lease , Incentive for 36 month Lease ,Eligibility date
2023,Ford,Mach-E,Premium RWD Standard Range,BEV,"$5,000","$1,250","$2,500","$3,750",2023-01-30
2023,Ford,Mach-E,Premium eAWD Standard Range,BEV,"$5,000","$1,250","$2,500","$3,750",2023-01-30
2023,Ford,Mach-E,Premium RWD Extended Range,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-02
2023,Ford,Mach-E,Premium eAWD Extended Range,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-02
2023,Ford,Mach-E,California Route 1,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-02
2022,Ford,Escape,SE,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Ford,Escape,SEL,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Ford,Escape,Titanium,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Ford,Escape,SE,PHEV,"$2,500",$625,"$1,250","$1,875",2021-11-25
2022,Ford,Escape,SEL,PHEV,"$2,500",$625,"$1,250","$1,875",2021-11-25
2022,Ford,Escape,Titanium,PHEV,"$2,500",$625,"$1,250","$1,875",2021-11-25
2022,Ford,Mach-E,Premium RWD Extended Range,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-02
2022,Ford,Mach-E,Premium eAWD Extended Range,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-02
2022,Ford,Mach-E,California Route 1,BEV,"$5,000","$1,250","$2,500","$3,750",2023-05-02
2022,Ford,Mach-E,Select RWD Standard Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Ford,Mach-E,Select eAWD Standard Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Ford,Mach-E,Premium RWD Standard range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2022,Ford,Mach-E,Premium eAWD Standard range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2021,Ford,Escape,SE,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2021,Ford,Escape,SEL,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2021,Ford,Escape,Titanium,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2021,Ford,Escape,SE,PHEV,"$2,500",$625,"$1,250","$1,875",2021-02-08
2021,Ford,Escape,SEL,PHEV,"$2,500",$625,"$1,250","$1,875",2021-02-08
2021,Ford,Escape,Titanium,PHEV,"$2,500",$625,"$1,250","$1,875",2021-02-08
2020,Ford,Escape,SE,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2020,Ford,Escape,SEL,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2020,Ford,Escape,Titanium,PHEV,"$5,000","$1,250","$2,500","$3,750",2022-04-25
2020,Ford,Escape,SE,PHEV,"$2,500",$625,"$1,250","$1,875",2020-02-27
2020,Ford,Escape,SEL,PHEV,"$2,500",$625,"$1,250","$1,875",2020-02-27
2020,Ford,Escape,Titanium,PHEV,"$2,500",$625,"$1,250","$1,875",2020-02-27
2020,Ford,Fusion,SEL,PHEV,"$2,500",$625,"$1,250","$1,875",2019-08-13
2020,Ford,Fusion,Titanium,PHEV,"$2,500",$625,"$1,250","$1,875",2019-08-13
2018,Ford,Fusion,SEL,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2018,Ford,Fusion,Titanium,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2018,Ford,Fusion,Platinum,PHEV,"$2,500",$625,"$1,250","$1,875",2019-05-01
2018,Ford,Focus,Electric,BEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2021,Honda,Clarity Plug-in Hybrid,Base,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-12-09
2021,Honda,Clarity Plug-in Hybrid,Touring,PHEV,"$5,000","$1,250","$2,500","$3,750",2020-12-09
2019,Honda,Clarity Plug-in Hybrid,Base,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2019,Honda,Clarity Plug-in Hybrid,Touring,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-05-01
2018,Honda,Clarity Plug-in Hybrid,Base,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-12-03
2018,Honda,Clarity Plug-in Hybrid,Touring,PHEV,"$5,000","$1,250","$2,500","$3,750",2019-12-03
2023,Hyundai,IONIQ 5,Preferred,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-31
2023,Hyundai,IONIQ 5,Preferred Long Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-31
2023,Hyundai,IONIQ 5,Preferred AWD Long Range,BEV,"$5,000","$1,250","$2,500","$3,750",2022-08-31
